Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central Europe and the Baltics,CEB,4.868400097,5.077809811,5.179230213,5.074510098,4.861130238,4.813159943,4.71378994,4.590549946,4.83453989,4.958040237,4.761209965,4.590109825,4.466775179,4.564869881,4.61743021,4.812260151,4.655389786,4.09250021,,,
Switzerland,CHE,4.781400204,4.95980978,5.314290047,5.523759842,5.445730209,5.204100132,4.9615798,4.687379837,4.867990017,5.041180134,4.926050186,4.969860077,5.033370018,5.040480137,5.051229954,5.100570202,5.104730129,5.130189896,,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,3.77583003,,4.081210136,3.963459969,3.538389921,3.262830019,3.021529913,3.21378994,3.792429924,4.230649948,4.162089825,4.045189857,,4.529429913,4.730949879,4.875309944,5.342010021,5.41945982,,,
China,CHN,,,,,,,,,,,,,,,,,,,,3.511773702,
Cote d'Ivoire,CIV,3.703670025,3.668679953,4.090330124,3.967989922,4.127860069,4.105750084,4.00150013,4.258329868,4.341259956,4.41245985,4.553460121,4.137549877,4.654109955,4.729000092,4.577429771,3.494159937,3.97232008,3.80347991,3.256030083,,
Cameroon,CMR,1.779919982,2.424180031,,3.091419935,3.013639927,2.887170076,2.741450071,3.075229883,2.611180067,3.109420061,2.993659973,2.766769886,2.697180033,2.768019915,2.687129974,2.768049955,2.654230118,3.154819965,3.131200075,,
"Congo, Dem. Rep.",COD,,,,,,,,,,,1.524979949,,,2.062210083,1.951429963,2.170439959,2.118690014,1.454949975,,,
"Congo, Rep.",COG,,,3.208319902,2.836159945,2.288130045,1.835770011,,,,,6.220789909,,,,4.017199993,4.561470032,,5.46505022,3.511049986,,
Colombia,COL,3.511209965,3.708679914,4.268129826,4.325139999,4.079349995,4.020989895,3.916719913,4.083010197,3.938780069,4.776519775,4.83382988,4.466080189,4.370389938,4.878550053,4.629459858,4.470389843,4.477210045,4.535510063,4.457489967,,
Comoros,COM,,,2.258419991,,,,,,4.42264986,,,2.830450058,2.747839928,2.382760048,2.744729996,2.545059919,,,,,
Cabo Verde,CPV,,,7.876820087,,7.476640224,,6.529600143,5.407549858,5.518000126,5.308959961,5.567289829,5.043610096,,5.001440048,4.963870049,5.266910076,5.288790226,5.181749821,,,
Costa Rica,CRI,4.68696022,4.851099968,5.173540115,5.156360149,4.912179947,,4.639180183,4.658899784,4.91711998,6.046350002,6.634449959,6.455349922,6.68983984,6.849339962,6.869520187,7.082540035,7.097680092,7.315720081,6.978569984,7.048759937,
Caribbean small states,CSS,3.869560003,4.223160028,4.459119916,3.696724892,3.912549973,4.616419792,,5.49022007,6.191319942,6.198480129,6.370600224,6.266640186,6.112460136,6.251080036,6.016540051,5.455770016,5.315080166,5.260620117,5.41478014,5.16918993,
Cuba,CUB,7.704810143,8.358090401,9.571169853,9.940859795,10.26823044,10.55778027,9.057169914,11.86820984,14.05908012,13.12485981,12.83730984,,,,,,,,,,
Curacao,CUW,,,,,,,,,,,,,,4.930950165,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,4.9895401,5.11552,5.581669807,6.670229912,6.117720127,6.286670208,6.330269814,6.280829906,6.722760201,7.205450058,6.54279995,6.538539886,,6.483779907,6.448500156,6.346360207,6.163799763,5.777190208,,,
Czech Republic,CZE,3.650890112,3.748549938,3.972559929,4.136429787,4.014239788,3.890379906,4.217100143,3.866630077,3.74454999,4.171279907,4.064459801,4.272140026,4.250860214,4.090889931,3.994620085,5.788849831,5.587379932,3.854020119,,,
Germany,DEU,,,,,,,4.293960094,4.366799831,4.435949802,4.909510136,4.94367981,4.82487011,4.956580162,4.961110115,4.939620018,4.834980011,4.840219975,4.905119896,,,
Djibouti,DJI,9.659999847,7.805429935,8.447600365,8.889849663,9.264670372,8.365889549,8.278779984,8.40625,,,4.49022007,,,,,3.590240002,3.924390078,3.748559952,3.627739906,,
Dominica,DMA,,,,,,,,,,,,,,,,3.408580065,,,,5.573450089,
Denmark,DNK,8.084340096,8.215450287,8.213029861,8.121930122,8.207630157,8.085570335,7.729909897,7.615600109,7.4760499,8.448880196,8.559550285,8.48486042,7.237820148,8.494429588,7.634850025,,,7.816080093,,,
Dominican Republic,DOM,1.888290048,1.967829943,1.914010048,1.84465003,,,,2.046789885,,,,,,,,,,,,,
Algeria,DZA,,,,,,,,,4.33701992,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,4.208930016,2.69233501,2.89222002,,2.748470068,,,3.078419924,3.508500099,3.861939907,4.076770067,4.60902977,4.865959883,4.532395124,,,,,,,
Early-demographic dividend,EAR,3.983109951,4.088779926,3.407730103,3.574229956,3.419530034,,4.001780033,3.563529968,4.125389934,,4.02741003,3.79618001,3.712470055,,,,,,,,
East Asia & Pacific,EAS,,3.499780059,3.864919901,,3.652760029,,,3.392745018,3.413825035,4.392129898,3.639499903,4.125804901,4.536709785,4.1240201,4.152719975,,,,,,
Europe & Central Asia (excluding high income),ECA,3.25661993,3.325264931,3.227304935,3.415060043,3.270125031,3.512130022,3.634880066,3.682640076,4.099474907,4.187299967,,3.935110092,3.793100119,3.91901505,4.41609478,3.789020061,3.760440111,3.903795123,,,
Europe & Central Asia,ECS,4.166140079,4.650090218,4.438934803,4.673229933,4.738790035,4.873839855,4.820549965,4.672060013,4.880650043,5.057749987,5.220039845,4.969860077,4.811810017,5.024950027,5.124000072,4.885540009,4.821000099,4.783239841,,,
Ecuador,ECU,1.150930047,,,,,,,,,4.342420101,4.507430077,4.726890087,4.643070221,5.004640102,5.260990143,4.998700142,,,,,
"Egypt, Arab Rep.",EGY,,,,4.945630074,4.6707201,4.794429779,4.001780033,3.68460989,3.760829926,,,,,,,,,,,,
Euro area,EMU,4.585120201,5.224609852,5.258719921,5.074510098,4.961864948,4.97356987,4.820549965,4.684490204,5.109519958,5.563149929,5.473380089,5.127089977,4.956580162,5.334609985,5.27489996,4.909530163,4.821000099,4.939249992,,,
Eritrea,ERI,,4.047160149,3.523900032,,3.148969889,,2.127000093,,,,,,,,,,,,,,
Spain,ESP,4.166049957,4.111269951,4.134570122,4.173429966,4.157859802,4.144320011,4.184820175,4.254049778,4.528059959,4.912000179,4.856080055,4.896920204,4.469339848,4.351019859,4.303380013,4.286570072,4.227640152,4.20773983,,,
Estonia,EST,5.332429886,5.224609852,5.431310177,5.271170139,4.877349854,4.813159943,,4.620639801,5.477379799,5.926519871,5.473380089,4.969920158,4.682690144,4.812670231,5.367080212,5.106850147,5.170539856,4.973380089,,,
Ethiopia,ETH,3.983109951,3.700289965,3.632450104,,,,5.490960121,5.451129913,5.408199787,4.422070026,4.496590137,5.485760212,5.56678009,4.498549938,4.602019787,4.737919807,,,,,
European Union,EUU,4.868400097,5.077809811,5.179230213,5.074510098,4.961864948,5.073949814,4.864109993,4.684490204,5.029049873,5.554969788,5.312739849,4.969920158,4.880609989,4.961110115,5.124000072,4.897535086,4.801780224,4.725169897,,,
Fragile and conflict affected situations,FCS,,,,,,,,,,,3.121330023,3.102479935,,3.369554996,,,,3.471064925,,,
Finland,FIN,5.709300041,5.840250015,6.0167799,6.167439938,6.157579899,6.02507019,5.928380013,5.67125988,5.83010006,6.459559917,6.504449844,6.445049763,7.148039818,7.124040127,7.102369785,7.032080173,6.851530075,6.376210213,,,
Fiji,FJI,5.857250214,5.617139816,6.24382019,,6.164929867,5.121970177,5.607140064,5.848430157,4.25357008,4.498479843,,4.17305994,,3.882889986,,,,,,,
France,FRA,,,,,,,,,,,,,,,,,,5.451600075,,,
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,6.706870079,,,,,,,,,,,,,,,12.40791988,,,,,
Gabon,GAB,3.827090025,,,,,,,,,,3.078089952,2.987459898,3.013400078,3.029710054,2.666670084,,,,,,
United Kingdom,GBR,4.031189919,4.119229794,4.638869762,4.804669857,4.738790035,4.939139843,4.985310078,4.914820194,4.89331007,5.074319839,5.703239918,5.595230103,,5.529799938,5.598999977,5.556159973,5.426700115,5.442090034,,,
Georgia,GEO,2.181050062,2.137500048,2.235019922,2.065599918,2.914200068,2.484319925,3.00364995,2.696870089,2.919549942,3.222379923,,2.576139927,1.906100035,,,,3.593869925,3.574429989,3.52105999,,
Ghana,GHA,,5.354440212,,,7.535580158,7.42208004,5.259829998,5.519869804,5.757959843,5.317440033,5.540599823,8.14097023,7.919139862,4.60710001,4.491819859,4.510890007,4.486830235,3.617980003,3.989439964,,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,2.593400002,2.081909895,2.593869925,2.371020079,2.210000038,1.849060059,,,1.581120014,2.207250118,2.551189899,2.287420034,1.833709955,2.63421011,2.422810078,2.517139912,2.544559956,2.31765008,2.315939903,,
"Gambia, The",GMB,1.465870023,1.158100009,1.44291997,1.363379955,0.622470021,0.691879988,0.751630008,0.81686002,2.181299925,1.908139944,2.563220024,2.50116992,2.637569904,1.818390012,2.230940104,2.160029888,2.024430037,,2.420300007,,
Guinea-Bissau,GNB,,,,,,,,,,,1.860820055,1.857859969,2.001060009,2.13248992,,,,,,,
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,3.230190039,3.364579916,3.424309969,3.429339886,3.667190075,3.963959932,,,,,,,,,,,,,,,
Grenada,GRD,,,,3.926739931,,,,,,,,,,,,,,3.173799992,,,
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,,,,,,,2.984009981,3.03873992,3.184540033,,2.803060055,2.920140028,2.957859993,2.888089895,2.985620022,3.030329943,2.944740057,2.951819897,3.140929937,3.212199926,
Guam,GUM,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,8.484149933,8.397299767,8.365539551,6.955900192,5.51293993,8.139730453,5.089250088,3.752619982,,3.302740097,3.638550043,3.592040062,3.182420015,,5.847959995,5.214829922,6.06099987,6.230070114,5.493579865,,
High income,HIC,4.781400204,4.964684963,5.094980001,5.057465076,5.046380043,4.92471981,4.864109993,4.699810028,4.89331007,5.085820198,5.36992979,5.022215128,4.90920496,5.005295038,5.124000072,5.103710175,5.104730129,4.939249992,,,
"Hong Kong SAR, China",HKG,,3.903700113,4.015540123,4.285299778,4.558959961,4.134630203,3.842789888,3.454550028,3.260629892,4.392129898,3.510030031,3.418220043,3.509609938,3.760319948,3.572550058,3.262120008,3.292649984,3.310100079,3.326519966,3.810580015,
Honduras,HND,,,,,,,,,,,,,,5.874929905,7.090119839,6.412970066,,,6.06746006,,
Heavily indebted poor countries (HIPC),HPC,2.593400002,2.70720005,2.636595011,,3.02925992,3.023475051,,,2.759285092,3.232720017,3.502229929,3.282244921,3.209389925,3.390985012,3.856209993,3.735795021,3.096090078,3.787309885,3.547209978,,
Croatia,HRV,,,3.819780111,3.864379883,3.81904006,,,3.965199947,4.281829834,4.391839981,4.242040157,4.150109768,,4.564869881,,,,3.917129993,,,
Haiti,HTI,,,,,,,,,,,,,,,3.02451992,3.1572299,2.449589968,2.689450026,2.780469894,,
Hungary,HUN,4.868400097,4.931009769,5.179230213,5.791150093,5.335859776,5.330920219,5.296080112,5.143050194,4.973589897,4.958040237,4.761209965,4.590109825,4.163859844,4.197730064,4.61743021,4.518660069,4.655389786,4.667099953,,,
IBRD only,IBD,3.901460052,3.771124959,3.785075068,3.864379883,3.698850036,3.899299979,3.903460026,3.824904919,4.162065029,4.483980179,4.242040157,4.150109768,3.867500067,4.099110126,,,4.411010027,4.307660103,,,
IDA & IBRD total,IBT,3.430170059,3.503420115,3.386080027,3.458904982,3.348845005,3.512130022,3.669059992,3.60984993,3.926270008,4.253469944,3.882390022,3.819399953,3.690005064,3.801490068,4.068289995,4.127710104,3.962090015,4.088590145,,,
IDA total,IDA,2.593400002,2.903909922,2.825220108,,3.02925992,3.309639931,,,3.34442997,3.356019974,3.521014929,3.102479935,3.479490042,3.454459906,4.005110025,3.939965129,3.419300079,4.031330109,3.696439981,,
IDA blend,IDB,,,,,2.650884986,2.468445063,,,,,4.250940084,,5.509039879,5.539264917,5.280210018,4.916404963,5.362669945,5.324010134,4.408650041,,
Indonesia,IDN,,2.460030079,2.645689964,3.217999935,2.748470068,2.872819901,,3.044250011,2.901900053,3.525130033,2.81227994,3.189440012,3.407480001,3.359040022,3.288009882,3.583600044,,,,,
IDA only,IDX,2.61943996,2.903909922,2.775789976,,3.076004982,3.364639997,3.40350008,,3.403559923,3.61195004,3.521014929,3.102479935,3.344439983,3.327510118,3.695219994,3.752544999,3.257695079,3.80347991,3.696439981,,
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,
India,IND,4.324790001,,,3.613409996,3.352540016,3.188750029,3.142849922,,,3.278249979,3.377690077,3.79618001,3.867500067,3.844670057,,,,,,,
Not classified,INX,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,4.136640072,4.091869831,4.106040001,4.20554018,4.486299992,4.522160053,4.545509815,4.712240219,5.444149971,6.135089874,6.038040161,5.858260155,5.765729904,5.334609985,4.881390095,3.758290052,3.7197299,3.506860018,,,
"Iran, Islamic Rep.",IRN,4.030640125,4.071680069,4.484879971,4.363220215,4.296629906,4.056509972,4.289989948,4.596809864,3.913759947,3.842449903,3.709180117,3.484970093,3.168590069,3.06795001,2.801350117,2.797389984,3.365760088,3.790400028,3.955359936,,
Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,6.447169781,6.730020046,7.31757021,7.254779816,7.156290054,7.356090069,7.299240112,6.98871994,7.10258007,7.184249878,6.978479862,6.818230152,7.596360207,7.491219997,7.688580036,7.512909889,7.495210171,7.658219814,,,
Israel,ISR,6.118020058,6.37691021,6.466380119,6.34953022,5.944399834,5.759759903,5.760499954,5.502170086,5.535439968,5.494550228,5.535349846,5.566880226,5.699810028,5.884890079,5.792650223,5.867300034,5.857130051,6.092619896,,,
Italy,ITA,4.291079998,4.650090218,4.432409763,4.541790009,4.385200024,4.238299847,4.52545023,4.10503006,4.387949944,4.523719788,4.334119797,4.115680218,4.056019783,4.143670082,4.061279774,4.073629856,3.815789938,4.044939995,,,
Jamaica,JAM,4.983469963,5.381030083,5.375229836,4.256849766,3.912549973,4.616419792,,5.49022007,6.191319942,6.198480129,6.370600224,6.266640186,6.112460136,6.251080036,6.016540051,5.455770016,5.315080166,5.260620117,5.41478014,5.16918993,
Jordan,JOR,,,,,,,,,,,,,,,,,3.514120102,3.284049988,3.034349918,3.072530031,
Japan,JPN,3.516170025,3.457070112,3.46536994,3.523689985,3.483069897,3.368619919,3.329090118,3.330940008,3.319149971,,3.639499903,3.642580032,3.692260027,3.665380001,3.59059,,3.186180115,3.182179928,,,
Kazakhstan,KAZ,3.25661993,,3.029700041,,2.25590992,2.263530016,2.626780033,2.831389904,2.589459896,3.060719967,,,,,,2.788579941,2.978100061,2.750819921,2.615950108,,
Kenya,KEN,5.186729908,5.206210136,6.171999931,6.494269848,6.796929836,7.335649967,7.049839973,,,,5.508220196,5.335289955,5.509039879,5.411379814,5.280210018,5.271339893,5.362669945,5.366680145,5.306250095,,
Kyrgyz Republic,KGZ,3.50838995,3.854180098,4.445459843,4.475419998,4.622439861,4.873839855,5.549860001,6.467000008,5.913189888,6.232679844,5.818830013,6.79061985,7.384230137,6.780200005,5.531599998,5.985509872,6.586150169,6.026189804,,,
Cambodia,KHM,1.655990005,1.722219944,1.711210012,,1.719820023,,,1.599300027,,1.665680051,1.533789992,1.510689974,1.560899973,2.05053997,1.909389973,,,,2.162859917,,
Kiribati,KIR,11.18587017,11.98812008,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,4.611090183,4.265309811,3.792390108,3.662580013,3.803639889,3.628999949,4.059259892,4.193809986,,,,,,,,2.643460035,,,,,
"Korea, Rep.",KOR,,,,,,,,,,,,,,,,,4.333099842,,,,
Kuwait,KWT,,6.585830212,6.551109791,,5.535069942,4.738339901,3.759979963,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,3.970685005,4.105879784,4.017340183,3.851875067,3.943514943,,4.128210068,4.272805214,4.82006979,5.325745106,4.83382988,4.596485138,4.643070221,5.004640102,5.260620117,4.998700142,4.27918005,4.522819996,,,
Lao PDR,LAO,1.503690004,1.990280032,2.825220108,,2.413000107,2.414089918,2.958790064,3.078419924,2.27854991,1.654850006,1.709789991,1.708019972,1.821470022,3.233809948,2.937809944,,,,,,
Lebanon,LBN,,2.841480017,2.552710056,,2.640949965,2.646189928,2.779759884,2.583570004,2.014790058,1.765709996,1.613309979,1.652519941,2.148089886,2.432450056,,,,,,,
Liberia,LBR,,,,,,,,,1.701660037,,,,1.777119994,1.734660029,2.279099941,,,2.76128006,2.584120035,,
Libya,LBY,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,,5.707330227,,3.534490108,3.436460018,4.238959789,4.696690083,,4.483530045,3.067660093,3.482899904,3.588239908,3.272989988,3.85984993,3.880690098,3.867729902,5.208280087,,3.331799984,,
Latin America & Caribbean,LCN,3.77583003,3.844680071,3.883855104,3.535049915,3.745604992,,3.792889953,3.855165124,4.639089823,5.325745106,4.670629978,4.410675049,,5.004640102,5.260620117,4.937005043,4.618155003,4.535510063,,,
Least developed countries: UN classification,LDC,2.593400002,2.682824969,2.636595011,,2.812619925,2.978379965,,,2.777280092,2.95720005,3.421319962,2.585034966,2.872040033,3.259230018,3.384880066,3.67008996,3.060230017,3.909319997,3.696439981,,
Low income,LIC,2.646094918,3.432719946,,,3.108380079,,,,2.741290092,,2.744709969,2.885689974,2.872040033,3.067680001,3.648070097,3.632339954,3.060230017,3.787309885,,,
Liechtenstein,LIE,,,,2.46013999,2.433330059,,2.053809881,1.921190023,2.048369884,,,2.556040049,,,,,,,,,
Sri Lanka,LKA,,,,,,,,,,2.055900097,1.717740059,1.808609962,1.496170044,1.621070027,1.932880044,2.22874999,3.449199915,2.799249887,2.124209881,,
Lower middle income,LMC,2.988375068,,3.180579901,3.176334977,3.171940088,3.512130022,3.549170017,,4.086350083,4.255384922,4.266144991,3.898499966,3.942765117,4.225885034,4.05024004,4.34394002,4.081150055,4.223134995,3.825899959,,
Low & middle income,LMY,3.469280005,3.668679953,3.300149918,3.458904982,3.345149994,3.52218008,3.733595014,3.60649991,3.926270008,4.098309994,3.795785069,3.754230022,3.690005064,3.763829947,4.035249949,4.078430176,3.825239897,4.073729992,,,
Lesotho,LSO,10.09154987,9.365050316,10.10044956,13.21957016,11.10900974,12.07966042,11.27128029,,12.08349991,,,,,,,,,7.963319778,6.985189915,,
Late-demographic dividend,LTE,3.853990078,3.894940019,4.093625069,4.207555056,4.079349995,3.93859005,3.891489983,4.291189909,4.334774971,4.796509981,4.900140047,4.60902977,4.609699965,4.878550053,4.89528513,4.705900192,4.639220238,4.535510063,,,
Lithuania,LTU,,5.840380192,5.79253006,5.108510017,5.169159889,4.873189926,4.820549965,4.590549946,4.83453989,5.577410221,5.312739849,5.127089977,4.769229889,4.609499931,4.49105978,4.22988987,4.003940105,3.812829971,,,
Luxembourg,LUX,,3.555799961,,,,,,,,,,,4.090410233,,4.007890224,3.918200016,,3.569590092,,,
Latvia,LVA,5.290649891,5.465030193,5.618460178,5.074510098,4.861130238,,4.71378994,4.656740189,5.395989895,5.55632019,5.072710037,4.932980061,6.582499981,6.980400085,5.27489996,5.314129829,4.712989807,4.397119999,,,
"Macao SAR, China",MAC,3.340869904,2.734019995,2.861999989,2.797640085,2.245640039,2.290649891,2.206389904,2.054519892,2.207920074,2.546469927,2.629499912,2.685189962,3.337359905,2.049860001,2.032059908,2.981699944,3.077909946,2.689889908,2.738699913,,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,,,,,,,,,5.342150211,5.260640144,,,,,,,,,,,
Monaco,MCO,1.255360007,,,,1.243860006,,,,,1.354590058,1.31735003,1.589890003,1.780040026,1.334400058,1.021950006,,1.370929956,1.457929969,,,
Moldova,MDA,4.486390114,4.846849918,5.497910023,5.424890041,6.771039963,7.162700176,7.498990059,8.293370247,8.237270355,9.509759903,7.592299938,7.136380196,6.983389854,,6.266019821,,5.608449936,5.618440151,5.439730167,,
Madagascar,MDG,2.438689947,2.70720005,2.231790066,2.610949993,2.812619925,3.309639931,2.830970049,2.902740002,2.554339886,2.825129986,,2.381680012,2.340670109,1.776939988,2.381230116,2.210119963,2.687190056,,2.825489998,,
Maldives,MDV,,,5.791860104,5.324069977,4.661600113,5.016839981,4.64523983,4.417880058,4.470290184,5.77493,4.117469788,3.506599903,3.76038003,3.800120115,3.470459938,4.366549969,4.099709988,,,,
Middle East & North Africa,MEA,,6.20182991,,,5.371479988,,4.289989948,,4.466135025,,,,,,,,,,,,
Mexico,MEX,3.992439985,4.24104023,4.454959869,5.072579861,4.726709843,4.845689774,4.699920177,4.690509796,4.82006979,5.187940121,5.159220219,5.105649948,5.103099823,4.696050167,5.260620117,5.235239983,4.909490108,4.522819996,,,
Marshall Islands,MHL,,,8.208979607,11.81980038,,,,,,,,,,,,,,,,,
Middle income,MIC,3.607439995,3.688529968,3.396905065,3.645974994,3.486520052,3.860009909,3.866260052,3.646245003,4.097199917,4.390699863,4.484220028,3.898499966,3.867500067,4.074200153,4.491819859,4.490639925,4.026735067,4.357679844,,,
North Macedonia,MKD,,,3.300149918,,,,,,,,,,,,,,,,,,
Mali,MLI,2.971560001,2.658449888,2.896229982,3.805599928,3.859220028,3.52218008,,,3.403559923,3.869040012,3.343889952,3.754230022,3.479490042,3.284650087,3.648070097,3.801500082,3.096090078,3.787309885,,,
